gt_idx,gt_name,total,acc_old,acc_new,acc_delta,always_right,always_wrong,wrong_to_right,right_to_wrong,w2r_samples,r2w_samples
0,brush hair,39,0.8718,0.9231,0.0513,34,3,2,0,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0; Prelinger_HabitPat1954_brush_hair_u_cm_np1_le_med_10,
1,cartwheel,30,0.7,0.5333,-0.1667,15,8,1,6,Parada_de_mao_cartwheel_f_cm_np1_fr_med_3,Jessica_and_Gregs_Cartwheel_Competition_cartwheel_f_cm_np1_fr_med_5; Beim_Radschlag_Hose_gerissen_(Nick)_xD_cartwheel_f_cm_np1_ri_med_0; Jessica_and_Gregs_Cartwheel_Competition_cartwheel_f_cm_np1_fr_med_6; cartwheel_challange_cartwheel_f_cm_np2_le_med_1; cartwheel_competition_43_year_old_vs__15_year_old_cartwheel_f_cm_np2_ri_med_0; Zwei_hoffnungslose_Pflegef_lle_beim_Turnen(Part2)_cartwheel_f_cm_np1_le_bad_0
2,catch,30,0.8667,0.9,0.0333,26,3,1,0,Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_f_cm_np1_ri_med_4,
3,chew,30,0.8,0.8667,0.0667,24,4,2,0,Bubble_blowing_3!_chew_h_nm_np1_le_bad_0; Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_2,
4,clap,30,0.6333,0.7333,0.1,19,8,3,0,The_Slow_Clap_clap_u_nm_np1_fr_med_12; The_Slow_Clap_clap_u_nm_np3_fr_med_11; Standing_clap_f_cm_np1_fr_med_1,
5,climb,30,0.9667,0.9333,-0.0333,28,1,0,1,,rope_climb_Olivia_Age_4_climb_f_cm_np1_ri_med_0
6,climb stairs,30,0.5667,0.8667,0.3,17,4,9,0,Piano_stairs__-_TheFunTheory_com_-_Rolighetsteorin_se_climb_stairs_f_nm_np1_ba_med_0; TheBoondockSaints_climb_stairs_f_cm_np3_ba_med_125; Piano_stairs__-_TheFunTheory_com_-_Rolighetsteorin_se_climb_stairs_f_nm_np2_ba_med_1; Piano_stairs__-_TheFunTheory_com_-_Rolighetsteorin_se_climb_stairs_f_nm_np2_ba_med_6; treppensteigen_1_climb_stairs_f_cm_np2_fr_med_0; Piano_stairs__-_TheFunTheory_com_-_Rolighetsteorin_se_climb_stairs_f_nm_np3_ba_med_2; treppensteigen_1_climb_stairs_f_cm_np2_fr_med_1; Piano_stairs__-_TheFunTheory_com_-_Rolighetsteorin_se_climb_stairs_f_nm_np3_ba_med_7; treppensteigen_1_climb_stairs_f_cm_np2_fr_med_2,
7,dive,30,0.7667,0.8333,0.0667,23,5,2,0,BungyjumpingAJHackettNewZealand_dive_f_cm_np1_fr_bad_1; base_jumping_compilation_3_FMJ_dive_f_cm_np1_le_bad_1,
8,draw sword,30,0.4667,0.5333,0.0667,11,11,5,3,Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_fr_med_0; Nakayama_Aikido_Iaido_Part_3_draw_sword_f_cm_np1_le_med_0; Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_fr_med_2; Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_le_med_1; Iaido_13_katas_draw_sword_f_nm_np1_fr_med_0,Samurai_Fight_Scene_draw_sword_f_cm_np2_fr_goo_2; Tenshin_Ryu_Aikido_draw_sword_f_nm_np1_ri_med_0; VERGIL_(DEVIL_MAY_CRY)_swinging_his_sword_draw_sword_f_cm_np1_fr_med_4
9,dribble,30,0.8,0.8333,0.0333,24,5,1,0,Clay_sBasketballSkillz_dribble_f_nm_np1_le_med_1,
10,drink,30,0.9333,0.9667,0.0333,28,1,1,0,DONNIE_DARKO_drink_u_nm_np1_fr_goo_4,
11,eat,30,0.9,0.9333,0.0333,26,1,2,1,AMADEUS_eat_u_nm_np1_fr_goo_10; The_Departed_-_Part_1_eat_u_nm_np1_fr_med_2,TrumanShow_eat_u_cm_np1_ri_med_27
12,fall floor,30,0.7,0.4333,-0.2667,12,8,1,9,TheBoondockSaints_fall_floor_u_nm_np1_ba_med_97,RETURN_OF_THE_KING_fall_floor_u_nm_np2_ba_med_35; LONGESTYARD_fall_floor_f_cm_np1_fr_med_19; Return_of_the_King_4_fall_floor_u_cm_np1_fr_med_9; TheBoondockSaints_fall_floor_f_nm_np1_ba_bad_40; BLACK_HAWK_DOWN_fall_floor_f_cm_np1_fr_bad_34; RETURN_OF_THE_KING_fall_floor_f_cm_np1_fr_med_39; TheBoondockSaints_fall_floor_f_nm_np2_ba_bad_66; RETURN_OF_THE_KING_fall_floor_u_cm_np1_fr_med_37; TheBoondockSaints_fall_floor_u_cm_np1_fr_med_63
13,fencing,30,0.6667,0.6333,-0.0333,17,8,2,3,Swordplay_Alliance_Rapier_and_Dagger_fight_fencing_f_cm_np2_le_bad_5; The_Three_Musketeers_(1993)_Final_Battle_1_3_fencing_u_cm_np2_ri_bad_2,The_Duel_-_Reel_Kick_Films_fencing_f_cm_np2_le_bad_0; Rapier_at_Clinton_2007_fencing_f_cm_np2_le_bad_3; Rapier_at_Clinton_2007_fencing_f_cm_np2_le_bad_5
14,flic flac,30,0.4667,0.7,0.2333,14,9,7,0,Round-Off_Flick_Flack!!_flic_flac_f_cm_np1_le_med_1; JOAKIN_(air_tricks_extreme)_flic_flac_f_cm_np1_ri_med_9; Round-off_flick_1_flic_flac_f_cm_np1_ri_med_0; Rush_Hour_4_Turnk_r_flic_flac_f_cm_np1_ri_med_4; Flikflak_ala_Mustafa_flic_flac_f_cm_np1_le_med_0; Rush_Hour_4_Turnk_r_flic_flac_f_cm_np1_ri_med_5; Turnen_Training_flick_flack_salto_gymnastics_backhandspring_backtuck_flic_flac_f_cm_np1_fr_bad_3,
15,golf,30,0.9333,0.9667,0.0333,28,1,1,0,Probably_the_best_golf_shot_in_the_world_ever!!!_golf_f_cm_np1_ba_med_0,
16,handstand,30,0.9,0.7667,-0.1333,22,2,1,5,Turnk_r_handstand_f_cm_np4_ba_med_2,handstands_1_handstand_f_cm_np1_fr_med_0; How_to_do_a_Handstand_handstand_f_nm_np1_ri_bad_0; handstands_1_handstand_f_cm_np1_fr_med_1; Turnk_r_Pippi_Michel_handstand_f_cm_np2_le_med_5; Bodenturnen_f_r_Anf_nger_handstand_f_cm_np1_ri_med_0
17,hit,30,0.8333,0.7667,-0.0667,23,5,0,2,,Destruction_of_a_TV_hit_f_cm_np1_ri_bad_3; TV_Recycling_hit_f_cm_np1_le_bad_0
18,hug,30,0.9333,0.9667,0.0333,28,1,1,0,Cox_umarmt_JD!_hug_u_cm_np2_ba_med_0,
19,jump,30,0.3333,0.4333,0.1,9,16,4,1,St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_le_bad_13; St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_le_bad_15; St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_ri_bad_12; St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_ri_bad_14,St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_le_bad_7
20,kick,30,0.3667,0.5667,0.2,10,12,7,1,The_Matrix_3_kick_f_cm_np1_fr_med_5; kick__Best_fight_scene_of_all_time_kick_f_cm_np1_ri_bad_1; kick__Best_fight_scene_of_all_time_kick_f_cm_np1_fr_bad_10; kick__Best_fight_scene_of_all_time_kick_f_cm_np1_ri_bad_3; The_Matrix_3_kick_f_nm_np1_le_med_1; kick__Best_fight_scene_of_all_time_kick_u_cm_np1_fr_bad_12; kick__Best_fight_scene_of_all_time_kick_f_cm_np1_le_bad_6,kick__Best_fight_scene_of_all_time_kick_f_cm_np1_ba_bad_11
21,kick ball,30,0.8333,0.8333,0.0,25,5,0,0,,
22,kiss,30,0.9,0.9,0.0,26,2,1,1,TVs_Best_Kisses_Top_50_(30_to_21)_kiss_f_cm_np2_le_goo_9,TVs_Best_Kisses_Top_50_(30_to_21)_kiss_f_cm_np2_le_goo_10
23,laugh,30,0.8667,0.9,0.0333,26,3,1,0,Glory_laugh_h_nm_np1_fr_bad_4,
24,pick,30,0.5333,0.5,-0.0333,13,12,2,3,nameunknown256kb_pick_u_nm_np1_le_med_2; Cleaning_The_Beach_Jeton_Bardhi__Dimitar_Chaprazov_pick_f_cm_np3_ba_bad_3,Dollar_Prank_at_the_Rivertown_Mall_pick_f_nm_np1_fr_med_1; David_Letterman_picks_up_trash_on_Broadway_pick_f_cm_np1_fr_med_0; David_Letterman_picks_up_trash_on_Broadway_pick_f_cm_np3_ri_med_1
25,pour,30,0.9,0.9,0.0,27,3,0,0,,
26,pullup,30,1.0,1.0,0.0,30,0,0,0,,
27,punch,30,0.7667,0.8333,0.0667,23,5,2,0,Glory_punch_u_cm_np1_fr_bad_37; Italian_Job_4_punch_u_cm_np1_fr_med_1,
28,push,30,0.9,0.9,0.0,26,2,1,1,Dodge_Truck_Push_80_ft__23_seconds!_push_f_cm_np1_le_bad_3,Davos_-_Anschieben_von_Michis_Auto_push_f_cm_np1_fr_bad_0
29,pushup,30,0.9333,1.0,0.0667,28,0,2,0,PUSH_UP_pushup_u_cm_np1_ba_med_3; PUSH_UP_pushup_u_cm_np1_ba_med_5,
30,ride bike,30,1.0,1.0,0.0,30,0,0,0,,
31,ride horse,30,0.9667,0.9667,0.0,29,1,0,0,,
32,run,30,0.4,0.5667,0.1667,12,13,5,0,Man_Who_Cheated_Himself_512kb_run_f_cm_np1_le_bad_5; likebeckam_run_f_nm_np1_fr_bad_12; Fellowship_2_run_f_cm_np2_fr_med_5; The_Matrix_1_run_f_cm_np1_fr_bad_0; Age13_1_run_f_nm_np1_fr_med_2,
33,shake hands,30,0.9667,1.0,0.0333,29,0,1,0,IPL_Awards_Ceremony_shake_hands_u_cm_np2_ba_med_3,
34,shoot ball,30,1.0,1.0,0.0,30,0,0,0,,
35,shoot bow,30,0.9667,1.0,0.0333,29,0,1,0,Fellowship_7_shoot_bow_h_nm_np1_fr_med_8,
36,shoot gun,30,0.7667,0.9,0.1333,23,3,4,0,DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_0; DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_1; TheBoondockSaints_shoot_gun_u_cm_np1_fr_med_107; American_History_X_shoot_gun_u_nm_np1_fr_goo_49,
37,sit,30,0.2667,0.4333,0.1667,6,15,7,2,AllThePresidentMen_sit_f_nm_np1_fr_goo_3; TheBoondockSaints_sit_u_cm_np1_fr_med_29; Man_Who_Cheated_Himself_512kb_sit_u_cm_np1_ri_med_6; TheBoondockSaints_sit_u_cm_np1_fr_med_34; SweeneyTodd_sit_u_nm_np1_le_med_20; TheRoyalTenenbaums_sit_u_nm_np1_fr_med_4; SweeneyTodd_sit_f_cm_np1_fr_bad_16,SweeneyTodd_sit_f_nm_np1_fr_bad_34; SweeneyTodd_sit_u_cm_np1_fr_med_21
38,situp,30,1.0,1.0,0.0,30,0,0,0,,
39,smile,30,0.8,0.6667,-0.1333,19,5,1,5,SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_bad_2,SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_4; showyoursmile_smile_h_nm_np1_fr_goo_0; SE7EN_SMILES_x3_smile_h_nm_np1_fr_bad_7; SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_goo_2; SE7EN_SMILES_x3_smile_h_cm_np1_fr_goo_5
40,smoke,30,0.8333,0.8333,0.0,25,5,0,0,,
41,somersault,30,0.5667,0.6333,0.0667,17,11,2,0,Monikas_Staatsexamen__Turnen_somersault_f_cm_np1_le_med_5; Kristina_Goryunova_-_Floor_Exercise_-_2009_Tyson_American_Cu_somersault_f_cm_np1_le_med_1,
42,stand,30,0.3333,0.1,-0.2333,2,19,1,8,RushHour2_stand_u_cm_np1_fr_med_11,20060723sfjffjewgotmail_stand_u_cm_np1_ri_med_0; RATRACE_stand_f_cm_np1_le_med_35; SchoolRulesHowTheyHelpUs_stand_u_nm_np1_fr_med_1; AmericanGangster_stand_u_cm_np1_fr_bad_0; RETURN_OF_THE_KING_stand_u_cm_np1_fr_med_12; Crash_stand_f_cm_np1_le_med_15; LONGESTYARD_stand_u_cm_np1_le_med_18; BIG_FISH_stand_u_nm_np1_fr_med_27
43,swing baseball,30,0.2333,0.4,0.1667,7,18,5,0,Faith_Rewarded_swing_baseball_f_nm_np1_ba_med_23; Faith_Rewarded_swing_baseball_f_nm_np1_ri_med_62; Faith_Rewarded_swing_baseball_f_nm_np1_ba_med_28; Faith_Rewarded_swing_baseball_u_nm_np1_le_bad_12; Faith_Rewarded_swing_baseball_u_nm_np1_ri_bad_48,
